date,calories_burned,steps,distance,floors,minutes_sedentary,minutes_lightly_active,minutes_fairly_active,minutes_very_active,activity_calories
2018-12-07,3571.94,12016.81,5.66,20.94,740.69,259.24,15.92,47.49,1893.58
2018-12-08,3574.51,12054.65,5.68,21.03,740.69,259.78,15.94,47.68,1898.14
2018-12-09,3577.09,12092.5,5.7,21.12,740.69,260.33,15.97,47.88,1902.7
2018-12-10,3579.66,12130.34,5.72,21.21,740.69,260.87,15.99,48.08,1907.25
2018-12-11,3582.23,12168.19,5.73,21.31,740.69,261.41,16.02,48.27,1911.81
2018-12-12,3584.8,12206.03,5.75,21.4,740.69,261.96,16.04,48.47,1916.37
2018-12-13,3587.37,12243.87,5.77,21.49,740.69,262.5,16.06,48.67,1920.93
2018-12-14,3589.94,12281.72,5.79,21.58,740.69,263.04,16.09,48.86,1925.48
2018-12-15,3592.51,12319.56,5.8,21.68,740.69,263.59,16.11,49.06,1930.04
2018-12-16,3595.08,12357.41,5.82,21.77,740.69,264.13,16.14,49.26,1934.6
2018-12-17,3597.66,12395.25,5.84,21.86,740.69,264.67,16.16,49.45,1939.16
2018-12-18,3600.23,12433.09,5.86,21.95,740.69,265.22,16.19,49.65,1943.71
2018-12-19,3602.8,12470.94,5.88,22.05,740.69,265.76,16.21,49.85,1948.27
2018-12-20,3605.37,12508.78,5.89,22.14,740.69,266.3,16.23,50.05,1952.83
2018-12-21,3607.94,12546.63,5.91,22.23,740.69,266.85,16.26,50.24,1957.39
2018-12-22,3610.51,12584.47,5.93,22.32,740.69,267.39,16.28,50.44,1961.94
2018-12-23,3613.08,12622.31,5.95,22.42,740.69,267.93,16.31,50.64,1966.5
2018-12-24,3615.65,12660.16,5.97,22.51,740.69,268.48,16.33,50.83,1971.06
2018-12-25,3618.23,12698.0,5.98,22.6,740.69,269.02,16.36,51.03,1975.62
2018-12-26,3620.8,12735.85,6.0,22.7,740.69,269.56,16.38,51.23,1980.17
2018-12-27,3623.37,12773.69,6.02,22.79,740.69,270.11,16.4,51.42,1984.73
2018-12-28,3625.94,12811.53,6.04,22.88,740.69,270.65,16.43,51.62,1989.29
